QueryNumber;QueryText
1;WHAT,EFFECTS,CALCIUM,PHYSICAL,PROPERTIES,MUCUS,CF,PATIENTS
2;CAN,ONE,DISTINGUISH,EFFECTS,MUCUS,HYPERSECRETION,INFECTION,SUBMUCOSAL,GLANDS,RESPIRATORY,TRACT,CF
3;HOW,SALIVARY,GLYCOPROTEINS,CF,PATIENTS,DIFFERENT,NORMAL,SUBJECTS
4;WHAT,LIPID,COMPOSITION,CF,RESPIRATORY,SECRETIONS
5;IS,CF,MUCUS,ABNORMAL
6;WHAT,EFFECT,WATER,THERAPEUTIC,AGENTS,PHYSICAL,PROPERTIES,VISCOSITY,ELASTICITY,SPUTUM,BRONCHIAL,SECRETIONS,CF,PATIENTS
7;ARE,MUCUS,GLYCOPROTEINS,DEGRADED,DIFFERENTLY,CF,PATIENTS,COMPARED,NORMAL,SUBJECTS
8;WHAT,HISTOCHEMICAL,DIFFERENCES,DESCRIBED,NORMAL,CF,RESPIRATORY,EPITHELIA
9;WHAT,ASSOCIATION,LIVER,DISEASE,CIRRHOSIS,VITAMIN,A,METABOLISM,CF
10;WHAT,ROLE,VITAMIN,E,THERAPY,PATIENTS,CF
11;WHAT,DIFFERENCE,MECONIUM,ILEUS,MECONIUM,PLUG,SYNDROME
12;WHAT,ABNORMALITIES,AMINO,ACID,TRANSPORT,DESCRIBED,SMALL,BOWEL,CF,PATIENTS
13;WHAT,CLINICAL,BIOCHEMICAL,FEATURES,PANCREATITIS,CF,PATIENTS
14;WHAT,NON-INVASIVE,TESTS,PERFORMED,EVALUATION,EXOCRINE,PANCREATIC,FUNCTION,PATIENTS,CF
15;WHAT,HEPATIC,COMPLICATIONS,MANIFESTATIONS,CF
16;WHAT,GASTROINTESTINAL,COMPLICATIONS,CF,NEONATAL,PERIOD,EXCLUDE,LIVER,DISEASE,MECONIUM,ILEUS
17;WHAT,EFFECTIVE,REGIMEN,USE,PANCREATIC,ENZYME,SUPPLEMENTS,TREATMENT,CF,PATIENTS
18;IS,DIETARY,SUPPLEMENTATION,BILE,SALTS,THERAPEUTIC,BENEFIT,CF,PATIENTS
19;WHAT,COMPLICATIONS,PANCREATIC,ENZYME,THERAPY,REPORTED,CF,PATIENTS
20;WHAT,EFFECT,TREATMENT,CF,PATIENTS,ESSENTIAL,FATTY,ACID,SUPPLEMENTS
21;DOES,PANCREATIC,INSUFFICIENCY,CF,PATIENTS,AFFECT,ABILITY,ABSORB,METABOLIZE,IRON
22;WHAT,FREQUENCY,CF,NON-CAUCASIAN,POPULATIONS
23;WHAT,CONGENITAL,HEREDITARY,DISEASES,CONDITIONS,FOUND,ASSOCIATION,CF
24;WHAT,CHARACTERISTICS,PATIENTS,CF,INCOMPLETELY,MANIFESTED
25;WHAT,EVIDENCE,GENETIC,BASIS,CF,INVOLVES,ONE,GENE
26;WHAT,HETEROZYGOTE,ADVANTAGE,CF
27;WHAT,CONCORDANCE,CLINICAL,BIOCHEMICAL,MANIFESTATIONS,CF,SIBLING,PAIRS,CF
28;WHAT,INCIDENCE,MALE,FERTILITY,CF
29;WHAT,PATHOLOGY,REPRODUCTIVE,SYSTEM,MALE,FEMALE,CF
30;WHAT,RESULTS,GENETIC,COUNSELING,FAMILIES,CHILDREN,CF
31;WHAT,MAJOR,PSYCHOLOGICAL,SOCIAL,EFFECTS,CF,PATIENTS,FAMILIES
32;WHAT,FACTORS,INFLUENCE,COMPLIANCE,PRESCRIBED,THERAPY,CF,PATIENTS
33;WHAT,CONDITIONS,FACTORS,LEAD,ERRONEOUS,SWEAT,TESTS
34;WHAT,ALTERNATIVE,TECHNIQUES,CLASSICAL,GIBSON-COOKE,QUANTITATIVE,PILOCARPINE,IONTOPHORESIS,TEST,TITRIMETRIC,ANALYSIS,CHLORIDE,AVAILABLE,SWEAT,TESTING,RELATIVE,ADVANTAGES,DISADVANTAGES
35;HAS,CF,PATIENT,FOUND,CONSISTENTLY,NORMAL,SWEAT,TESTS
36;WHAT,CONCENTRATION,POTASSIUM,SWEAT,CF,PATIENTS
37;WHAT,TECHNIQUES,AVAILABLE,SCREENING,NEWBORN,INFANTS,CF,FACTORS,CONTRIBUTE,ERRONEOUS,RESULTS,TESTS
38;CAN,CF,DIAGNOSED,PRENATALLY
39;HOW,MAY,HETEROZYGOTES,CF,IDENTIFIED
40;OTHER,SWEAT,TEST,TECHNIQUES,MAY,USEFUL,BEYOND,NEONATAL,PERIOD,DIAGNOSIS,CF
41;IS,VITAMIN,D,METABOLISM,NORMAL,CF,PATIENTS
42;WHAT,ABNORMALITIES,INSULIN,SECRETION,INSULIN,METABOLISM,OCCUR,CF,PATIENTS
43;IS,SALT,SODIUM,AND/OR,CHLORIDE,TRANSPORT/PERMEABILITY,ABNORMAL,CF
44;WHAT,STRUCTURAL,ENZYMATIC,DIFFERENCES,FIBROBLASTS,CF,PATIENTS,NON-CF,PATIENTS
45;WHAT,ABNORMALITIES,PROSTAGLANDIN,METABOLISM,DESCRIBED,CF,PATIENTS
46;WHAT,PROPERTIES,ACTIVITY,GALACTOSYLTRANSFERASE,ENZYMES,CF,PATIENTS
47;WHAT,DIFFERENCES,NORMAL,SUBJECTS,CF,PATIENTS,DESCRIBED,FUNCTION,METABOLISM,HORMONES
48;DO,FIBROBLASTS,CF,PATIENTS,GROW,NORMAL,RATE
49;IS,RNA,METHYLATION,POLYAMINE,METABOLISM,NORMAL,CF,PATIENTS
50;WHAT,DEFECTS,SYNTHESIS,METABOLISM,CYCLIC,NUCLEOTIDES,DESCRIBED,CF,PATIENTS
51;WHAT,CIRCULATING,SECRETED,``,FACTORS,'',DESCRIBED,CF,PATIENTS,``,FACTORS,'',UNIDENTIFIED,BIOLOGICALLY,ACTIVE,MOLECULES,THOUGHT,PLAY,PATHOGENETIC,ROLE,CYSTIC,FIBROSIS
52;WHAT,KNOWN,PROLACTIN,CF,PATIENTS
53;DOES,SECRETORY,IGA,PROTECT,CF,PATIENTS,BACTERIAL,COLONIZATION,INFECTION
54;WHAT,RELATIONSHIP,ALLERGY,HYPERSENSITIVITY,LUNG,DISEASE,CF,PATIENTS
55;WHAT,INTERACTIONS,PROTEASES,ENDOGENOUS,BACTERIAL,ORIGIN,ANTIPROTEASES,LUNGS,CF,PATIENTS
56;WHAT,RELATIONSHIP,NUTRITION,PULMONARY,HOST,DEFENSES,BACTERIAL,INFECTION,CF,PATIENTS
57;WHAT,PATHOPHYSIOLOGIC,ROLE,CIRCULATING,ANTIBODIES,PSEUDOMONAS,AERUGINOSA,CF,PATIENTS
58;WHAT,IMMUNOLOGIC,RESPONSE,PULMONARY,INFECTION,CF,PATIENTS
59;WHAT,IMMUNOLOGIC,ABNORMALITIES,FOUND,CF,PATIENTS
60;WHAT,EFFECTS,CF,PULMONARY,CIRCULATION
61;IS,DEFECT,MUCOCILIARY,TRANSPORT,CLEARANCE,RESPIRATORY,TRACT,CF,PATIENTS
62;WHAT,CLINICAL,FEATURES,LUNG,DISEASE,CF,PATIENTS
63;WHAT,BIOCHEMICAL,MICROSCOPIC,CHARACTERISTICS,AIRWAY,INFLAMMATION,CF,PATIENTS
64;HOW,LUNG,FUNCTION,CHANGE,TIME,CF,PATIENTS,TIME,PERIODS,GREATER,DAY
65;WHAT,ABNORMALITIES,PULMONARY,FUNCTION,CF,PATIENTS
66;WHAT,PATHOLOGIC,FEATURES,LUNG,DISEASE,CF,PATIENTS
67;WHAT,PROGNOSIS,PATIENTS,EPISODE,RESPIRATORY,FAILURE
68;WHAT,EFFECTS,BRONCHODILATORS,CF,PATIENTS
69;WHAT,BEST,WAY,TREAT,PNEUMOTHORAX,CF,PATIENTS
70;WHAT,TREATMENT,PROGNOSIS,HEMOPTYSIS,CF,PATIENTS
