QueryNumber;QueryText
1;EFFECTS,CALCIUM,PHYSICAL,PROPERTIES,MUCUS,PATIENTS
2;ONE,DISTINGUISH,EFFECTS,MUCUS,HYPERSECRETION,INFECTION,SUBMUCOSAL,GLANDS,RESPIRATORY,TRACT
3;SALIVARY,GLYCOPROTEINS,PATIENTS,DIFFERENT,NORMAL,SUBJECTS
4;LIPID,COMPOSITION,RESPIRATORY,SECRETIONS
5;MUCUS,ABNORMAL
6;EFFECT,WATER,THERAPEUTIC,AGENTS,PHYSICAL,PROPERTIES,VISCOSITY,ELASTICITY,SPUTUM,BRONCHIAL,SECRETIONS,PATIENTS
7;MUCUS,GLYCOPROTEINS,DEGRADED,DIFFERENTLY,PATIENTS,COMPARED,NORMAL,SUBJECTS
8;HISTOCHEMICAL,DIFFERENCES,DESCRIBED,NORMAL,RESPIRATORY,EPITHELIA
9;ASSOCIATION,LIVER,DISEASE,CIRRHOSIS,VITAMIN,METABOLISM
10;ROLE,THERAPY,PATIENTS
11;DIFFERENCE,MECONIUM,ILEUS,MECONIUM,PLUG,SYNDROME
12;ABNORMALITIES,AMINO,ACID,TRANSPORT,DESCRIBED,SMALL,BOWEL,PATIENTS
13;CLINICAL,BIOCHEMICAL,FEATURES,PANCREATITIS,PATIENTS
14;TESTS,PERFORMED,EVALUATION,EXOCRINE,PANCREATIC,FUNCTION,PATIENTS
15;HEPATIC,COMPLICATIONS,MANIFESTATIONS
16;GASTROINTESTINAL,COMPLICATIONS,NEONATAL,PERIOD,EXCLUDE,LIVER,DISEASE,MECONIUM,ILEUS
17;EFFECTIVE,REGIMEN,USE,PANCREATIC,ENZYME,SUPPLEMENTS,TREATMENT,PATIENTS
18;DIETARY,SUPPLEMENTATION,BILE,SALTS,THERAPEUTIC,BENEFIT,PATIENTS
19;COMPLICATIONS,PANCREATIC,ENZYME,THERAPY,REPORTED,PATIENTS
20;EFFECT,TREATMENT,PATIENTS,ESSENTIAL,FATTY,ACID,SUPPLEMENTS
21;PANCREATIC,INSUFFICIENCY,PATIENTS,AFFECT,ABILITY,ABSORB,METABOLIZE,IRON
22;FREQUENCY,POPULATIONS
23;CONGENITAL,HEREDITARY,DISEASES,CONDITIONS,FOUND,ASSOCIATION
24;CHARACTERISTICS,PATIENTS,INCOMPLETELY,MANIFESTED
25;EVIDENCE,GENETIC,BASIS,INVOLVES,ONE,GENE
26;HETEROZYGOTE,ADVANTAGE
27;CONCORDANCE,CLINICAL,BIOCHEMICAL,MANIFESTATIONS,SIBLING,PAIRS
28;INCIDENCE,MALE,FERTILITY
29;PATHOLOGY,REPRODUCTIVE,SYSTEM,MALE,FEMALE
30;RESULTS,GENETIC,COUNSELING,FAMILIES,CHILDREN
31;MAJOR,PSYCHOLOGICAL,SOCIAL,EFFECTS,PATIENTS,FAMILIES
32;FACTORS,INFLUENCE,COMPLIANCE,PRESCRIBED,THERAPY,PATIENTS
33;CONDITIONS,FACTORS,LEAD,ERRONEOUS,SWEAT,TESTS
34;ALTERNATIVE,TECHNIQUES,CLASSICAL,QUANTITATIVE,PILOCARPINE,IONTOPHORESIS,TEST,TITRIMETRIC,ANALYSIS,CHLORIDE,AVAILABLE,SWEAT,TESTING,RELATIVE,ADVANTAGES,DISADVANTAGES
35;PATIENT,FOUND,CONSISTENTLY,NORMAL,SWEAT,TESTS
36;CONCENTRATION,POTASSIUM,SWEAT,PATIENTS
37;TECHNIQUES,AVAILABLE,SCREENING,NEWBORN,INFANTS,FACTORS,CONTRIBUTE,ERRONEOUS,RESULTS,TESTS
38;DIAGNOSED,PRENATALLY
39;MAY,HETEROZYGOTES,IDENTIFIED
40;SWEAT,TEST,TECHNIQUES,MAY,USEFUL,BEYOND,NEONATAL,PERIOD,DIAGNOSIS
41;METABOLISM,NORMAL,PATIENTS
42;ABNORMALITIES,INSULIN,SECRETION,INSULIN,METABOLISM,OCCUR,PATIENTS
43;SALT,SODIUM,CHLORIDE,ABNORMAL
44;STRUCTURAL,ENZYMATIC,DIFFERENCES,FIBROBLASTS,PATIENTS,PATIENTS
45;ABNORMALITIES,PROSTAGLANDIN,METABOLISM,DESCRIBED,PATIENTS
46;PROPERTIES,ACTIVITY,GALACTOSYLTRANSFERASE,ENZYMES,PATIENTS
47;DIFFERENCES,NORMAL,SUBJECTS,PATIENTS,DESCRIBED,FUNCTION,METABOLISM,HORMONES
48;FIBROBLASTS,PATIENTS,GROW,NORMAL,RATE
49;METHYLATION,POLYAMINE,METABOLISM,NORMAL,PATIENTS
50;DEFECTS,SYNTHESIS,METABOLISM,CYCLIC,NUCLEOTIDES,DESCRIBED,PATIENTS
51;CIRCULATING,SECRETED,FACTORS,DESCRIBED,PATIENTS,UNIDENTIFIED,BIOLOGICALLY,ACTIVE,MOLECULES,THOUGHT,PLAY,PATHOGENETIC,ROLE,CYSTIC,FIBROSIS
52;KNOWN,PROLACTIN,PATIENTS
53;SECRETORY,PROTECT,PATIENTS,BACTERIAL,COLONIZATION,INFECTION
54;RELATIONSHIP,ALLERGY,HYPERSENSITIVITY,LUNG,DISEASE,PATIENTS
55;INTERACTIONS,PROTEASES,ENDOGENOUS,BACTERIAL,ORIGIN,ANTIPROTEASES,LUNGS,PATIENTS
56;RELATIONSHIP,NUTRITION,PULMONARY,HOST,DEFENSES,BACTERIAL,INFECTION,PATIENTS
57;PATHOPHYSIOLOGIC,ROLE,CIRCULATING,ANTIBODIES,AERUGINOSA,PATIENTS
58;IMMUNOLOGIC,RESPONSE,PULMONARY,INFECTION,PATIENTS
59;IMMUNOLOGIC,ABNORMALITIES,FOUND,PATIENTS
60;EFFECTS,PULMONARY,CIRCULATION
61;DEFECT,MUCOCILIARY,TRANSPORT,CLEARANCE,RESPIRATORY,TRACT,PATIENTS
62;CLINICAL,FEATURES,LUNG,DISEASE,PATIENTS
63;BIOCHEMICAL,MICROSCOPIC,CHARACTERISTICS,AIRWAY,INFLAMMATION,PATIENTS
64;LUNG,FUNCTION,CHANGE,TIME,PATIENTS,TIME,PERIODS,GREATER,DAY
65;ABNORMALITIES,PULMONARY,FUNCTION,PATIENTS
66;PATHOLOGIC,FEATURES,LUNG,DISEASE,PATIENTS
67;PROGNOSIS,PATIENTS,EPISODE,RESPIRATORY,FAILURE
68;EFFECTS,BRONCHODILATORS,PATIENTS
69;BEST,WAY,TREAT,PNEUMOTHORAX,PATIENTS
70;TREATMENT,PROGNOSIS,HEMOPTYSIS,PATIENTS
71;PROGNOSIS,INFANTS,WHEEZING,CYSTIC,FIBROSIS
72;BEST,TREATMENT,NASAL,POLYPS,PATIENTS
73;EFFECTIVE,BRONCHIAL,LAVAGE,PATIENTS
74;RESULTS,MECHANICAL,VENTILATION,PATIENTS,RESPIRATORY,FAILURE
75;BEST,TREATMENT,PULMONARY,HYPERTENSION,COR,PULMONALE,PATIENTS
76;EFFECTS,EXERCISE,TRAINING,PROGRAMS,LUNG,FUNCTION,PATIENTS
77;TECHNIQUES,EFFECTIVE,PROMOTING,CLEARANCE,MUCUS,LUNGS,PATIENTS
78;SPECIAL,CONSIDERATIONS,TREATMENT,PATIENTS,ANTIBIOTICS,IE,PHARMACODYNAMICS,ANTIBIOTICS,DIFFERENT,PATIENTS,SPECIAL,PROBLEMS,PECULIAR
79;ROLE,ORALLY,ADMINISTERED,ANTIBIOTICS,TREATMENT,PATIENTS
80;EVIDENCE,COMBINATION,THERAPY,AMINOGLYCOSIDES,SEMISYNTHETIC,PENICILLINS,EFFECTIVE,THERAPY,EITHER,ALONE
81;EFFECTIVE,INHALATIONS,MUCOLYTIC,AGENTS,TREATMENT,PATIENTS
82;ROLE,AEROSOLS,TREATMENT,LUNG,DISEASE,PATIENTS
83;ROLE,BACTERIAL,PHAGOCYTOSIS,ALVEOLAR,MACROPHAGES,POLYMORPHONUCLEAR,LEUKOCYTES,LUNG,DISEASE,PATIENTS
84;RELATIONSHIP,INFLUENZAE,AERUGINOSA,PATIENTS
85;PATIENTS,EVER,DEVELOP,INFECTION,ORGANS,LUNG,ORGANS
86;ROLE,BACTERIA,AERUGINOSA,AUREUS,INFLUENZAE,PATHOGENESIS,LUNG,DISEASE,PATIENTS
87;ROLE,FUNGI,PATHOGENESIS,LUNG,DISEASE,PATIENTS
88;ROLE,VIRAL,INFECTION,LUNG,DISEASE,PATIENTS
89;EPIDEMIOLOGY,AERUGINOSA,PATIENTS,PATIENTS,SPREAD,AERUGINOSA,PATIENTS,INDIVIDUALS,FAMILY
90;FACTORS,RESPONSIBLE,APPEARANCE,MUCOID,STRAINS,AERUGINOSA,PATIENTS
91;UNUSUAL,MANIFESTATIONS,LUNG,DISEASE,EXOCRINE,PANCREATIC,INSUFFICIENCY
92;PROGNOSIS,SURVIVAL,PATIENTS
94;ANIMAL,MODELS,AVAILABLE,RELEVANT
95;ABNORMALITIES,SKELETAL,MUSCLE,FUNCTION,STRUCTURE,FOUND,PATIENTS
96;INCREASED,INCIDENCE,DENTAL,PROBLEMS,EG,CARIES,PERIODONTAL,DISEASE,PATIENTS
97;OXYGEN,TRANSPORT,RED,BLOOD,CELLS,ABNORMAL,PATIENTS
98;EFFECTS,DEVELOPMENT,FUNCTION,BRAIN,CENTRAL,NERVOUS,SYSTEM
99;ABNORMALITIES,TASTE,PATIENTS
100;INCIDENCE,TREATMENT,HYPERTROPHIC,OSTEOARTHROPATHY,PATIENTS
